,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalized,hospitalizedcurrently,hospitalizeddischarged
96,,Fujian,China,10.0,,,,20210119,289939,,,1066.0,
97,,He,China,9.0,,,,20210119,289939,,,1066.0,
98,,Jiangsu,China,9.0,,,,20210119,289939,,,1066.0,
99,,Hai,China,8.0,,,,20210119,289939,,,1066.0,
100,,Tianjin,China,8.0,,,,20210119,289939,,,1066.0,
101,,Yun,China,5.0,,,,20210119,289939,,,1066.0,
102,,Shaanxi,China,5.0,,,,20210119,289939,,,1066.0,
103,,Heilongjiang,China,4.0,1.0,,,20210119,289939,,,1066.0,
104,,Liaoning,China,4.0,,,,20210119,289939,,,1066.0,
105,,Guizhou,China,3.0,,,,20210119,289939,,,1066.0,
106,,Jilin,China,3.0,,,,20210119,289939,,,1066.0,
107,,Taiwan,Taiwan,3.0,,,,20210119,289939,,,1066.0,
108,,Ningxia,China,2.0,,,,20210119,289939,,,1066.0,
109,,Hong Kong,Hong Kong,2.0,,,,20210119,289939,,,1066.0,
110,,Macau,Macau,2.0,,,,20210119,289939,,,1066.0,
111,,Hebei,China,2.0,1.0,,,20210119,289939,,,1066.0,
112,,Gansu,China,2.0,,,,20210119,289939,,,1066.0,
113,,Xinjiang,China,2.0,,,,20210119,289939,,,1066.0,
114,,Shanxi,China,1.0,,,,20210119,289939,,,1066.0,
115,,Inner Mongolia,China,1.0,,,,20210119,289939,,,1066.0,
116,,Qinghai,China,,,,,20210119,289939,,,1066.0,
117,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
118,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
119,,,Japan,2.0,,,,20210119,289939,,,1066.0,
120,,,Thailand,5.0,,,,20210119,289939,,,1066.0,
121,,,South Korea,2.0,,,,20210119,289939,,,1066.0,
122,,,Singapore,3.0,,,,20210119,289939,,,1066.0,
123,,,Vietnam,2.0,,,,20210119,289939,,,1066.0,
124,,Hubei,China,761.0,40.0,32.0,,20210119,289939,,,1066.0,
125,,Guangdong,China,78.0,,2.0,,20210119,289939,,,1066.0,
126,,Zhejiang,China,62.0,,1.0,,20210119,289939,,,1066.0,
127,,Chongqing,China,57.0,,,,20210119,289939,,,1066.0,
128,,Hu,China,43.0,,,,20210119,289939,,,1066.0,
